"","state","pollster","n","population","mode","start.date","end.date","biden","trump","undecided","other","begin","end","t","two_party_sum","polltype","n_respondents","n_biden","p_biden","n_trump","p_trump"
"407","UT","Y2 Analytics",1266,"Likely Voters","Other","2020-03-21","2020-03-30",41,46,0,NA,2020-03-21,2020-03-30,2020-03-25,87,"Likely Voters",1266,519,0.471264367816092,582,0.528735632183908
"408","CA","Public Policy Polling",962,"Registered Voters","Other","2020-03-28","2020-03-29",67,29,0,NA,2020-03-28,2020-03-29,2020-03-28,96,"Registered Voters",962,645,0.697916666666667,279,0.302083333333333
"409","WI","Marquette University Law School",813,"Registered Voters","Live phone component","2020-03-24","2020-03-29",48,45,0,NA,2020-03-24,2020-03-29,2020-03-26,93,"Registered Voters",813,390,0.516129032258065,366,0.483870967741935
"410","--","Morning Consult",17323,"Registered Voters","Other","2020-03-23","2020-03-29",46,42,0,NA,2020-03-23,2020-03-29,2020-03-26,88,"Registered Voters",17323,7969,0.522727272727273,7276,0.477272727272727
"411","--","RMG Research",1000,"Registered Voters","Other","2020-03-26","2020-03-28",45,40,0,NA,2020-03-26,2020-03-28,2020-03-27,85,"Registered Voters",1000,450,0.529411764705882,400,0.470588235294118
"412","--","Change Research",1845,"Likely Voters","Other","2020-03-26","2020-03-28",49,43,0,NA,2020-03-26,2020-03-28,2020-03-27,92,"Likely Voters",1845,904,0.532608695652174,793,0.467391304347826
"413","--","Optimus",1032,"Likely Voters","Other","2020-03-21","2020-03-28",51.1,42.8,0,NA,2020-03-21,2020-03-28,2020-03-24,93.9,"Likely Voters",1032,527,0.54419595314164,442,0.45580404685836
"414","--","YouGov",1169,"Registered Voters","Other","2020-03-25","2020-03-26",46,40,0,NA,2020-03-25,2020-03-26,2020-03-25,86,"Registered Voters",1169,538,0.534883720930233,468,0.465116279069767
"415","--","The Harris Poll",1209,"Registered Voters","Other","2020-03-24","2020-03-26",55,45,0,NA,2020-03-24,2020-03-26,2020-03-25,100,"Registered Voters",1209,665,0.55,544,0.45
"416","NY","Siena College",566,"Registered Voters","Live phone component","2020-03-22","2020-03-26",58,33,0,NA,2020-03-22,2020-03-26,2020-03-24,91,"Registered Voters",566,328,0.637362637362637,187,0.362637362637363
"417","--","ABC",1003,"Adults","Live phone component","2020-03-22","2020-03-25",50,44,0,NA,2020-03-22,2020-03-25,2020-03-23,94,"Adults",1003,502,0.531914893617021,441,0.468085106382979
"418","--","ABC",845,"Registered Voters","Live phone component","2020-03-22","2020-03-25",49,47,0,NA,2020-03-22,2020-03-25,2020-03-23,96,"Registered Voters",845,414,0.510416666666667,397,0.489583333333333
"419","MI","Baldwin Wallace University",997,"Registered Voters","Other","2020-03-17","2020-03-25",47.3,42.2,0,NA,2020-03-17,2020-03-25,2020-03-21,89.5,"Registered Voters",997,472,0.528491620111732,421,0.471508379888268
"420","OH","Baldwin Wallace University",1025,"Registered Voters","Other","2020-03-17","2020-03-25",42.9,47.2,0,NA,2020-03-17,2020-03-25,2020-03-21,90.1,"Registered Voters",1025,440,0.476137624861265,484,0.523862375138735
"421","PA","Baldwin Wallace University",973,"Registered Voters","Other","2020-03-17","2020-03-25",44.5,46.5,0,NA,2020-03-17,2020-03-25,2020-03-21,91,"Registered Voters",973,433,0.489010989010989,452,0.510989010989011
"422","WI","Baldwin Wallace University",822,"Registered Voters","Other","2020-03-17","2020-03-25",44.9,44.8,0,NA,2020-03-17,2020-03-25,2020-03-21,89.7,"Registered Voters",822,369,0.500557413600892,368,0.499442586399108
"423","--","YouGov",1170,"Registered Voters","Other","2020-03-22","2020-03-24",46,42,0,NA,2020-03-22,2020-03-24,2020-03-23,88,"Registered Voters",1170,538,0.522727272727273,491,0.477272727272727
"424","--","FOX",1011,"Registered Voters","Live phone component","2020-03-21","2020-03-24",49,40,0,NA,2020-03-21,2020-03-24,2020-03-22,89,"Registered Voters",1011,495,0.550561797752809,404,0.449438202247191
"425","--","Echelon Insights",1000,"Registered Voters","Other","2020-03-20","2020-03-24",50,41,0,NA,2020-03-20,2020-03-24,2020-03-22,91,"Registered Voters",1000,500,0.549450549450549,410,0.450549450549451
"426","--","Lord Ashcroft Polls",10357,"Adults","Other","2020-03-10","2020-03-24",48,36,0,NA,2020-03-10,2020-03-24,2020-03-17,84,"Adults",10357,4971,0.571428571428571,3729,0.428571428571429
"427","--","Monmouth University",754,"Registered Voters","Live phone component","2020-03-18","2020-03-22",48,45,0,NA,2020-03-18,2020-03-22,2020-03-20,93,"Registered Voters",754,362,0.516129032258065,339,0.483870967741935
"428","--","Morning Consult",18136,"Registered Voters","Other","2020-03-16","2020-03-22",47,42,0,NA,2020-03-16,2020-03-22,2020-03-19,89,"Registered Voters",18136,8524,0.528089887640449,7617,0.471910112359551
"429","PA","Hodas",600,"Registered Voters","Live phone component","2020-03-19","2020-03-21",45,47,0,NA,2020-03-19,2020-03-21,2020-03-20,92,"Registered Voters",600,270,0.489130434782609,282,0.510869565217391
"430","MI","Marketing Resource Group",600,"Likely Voters","Live phone component","2020-03-16","2020-03-20",44,41,0,NA,2020-03-16,2020-03-20,2020-03-18,85,"Likely Voters",600,264,0.517647058823529,246,0.482352941176471
"431","WI","Hodas",600,"Registered Voters","Live phone component","2020-03-17","2020-03-19",45.3,48.7,0,NA,2020-03-17,2020-03-19,2020-03-18,94,"Registered Voters",600,272,0.481914893617021,292,0.518085106382979
"432","--","YouGov",1129,"Registered Voters","Other","2020-03-15","2020-03-17",48,41,0,NA,2020-03-15,2020-03-17,2020-03-16,89,"Registered Voters",1129,542,0.539325842696629,463,0.460674157303371
"433","FL","AtlasIntel",1100,"Registered Voters","Other","2020-03-14","2020-03-16",45.4,44.9,0,NA,2020-03-14,2020-03-16,2020-03-15,90.3,"Registered Voters",1100,499,0.502768549280177,494,0.497231450719823
"434","--","Ipsos",955,"Registered Voters","Other","2020-03-13","2020-03-16",46,37,0,NA,2020-03-13,2020-03-16,2020-03-14,83,"Registered Voters",955,439,0.55421686746988,353,0.44578313253012
"435","MI","Hodas",600,"Registered Voters","Live phone component","2020-03-12","2020-03-16",50.2,43.7,0,NA,2020-03-12,2020-03-16,2020-03-14,93.9,"Registered Voters",600,301,0.534611288604899,262,0.465388711395101
"436","--","RMG Research",1000,"Registered Voters","Other","2020-03-13","2020-03-15",47,43,0,NA,2020-03-13,2020-03-15,2020-03-14,90,"Registered Voters",1000,470,0.522222222222222,430,0.477777777777778
"437","--","Morning Consult",9979,"Registered Voters","Other","2020-03-11","2020-03-15",48,42,0,NA,2020-03-11,2020-03-15,2020-03-13,90,"Registered Voters",9979,4790,0.533333333333333,4191,0.466666666666667
"438","AZ","Marist College",2523,"Registered Voters","Live phone component","2020-03-10","2020-03-15",47,46,0,NA,2020-03-10,2020-03-15,2020-03-12,93,"Registered Voters",2523,1186,0.505376344086022,1161,0.494623655913978
"439","AZ","Monmouth University",847,"Registered Voters","Live phone component","2020-03-11","2020-03-14",46,43,0,NA,2020-03-11,2020-03-14,2020-03-12,89,"Registered Voters",847,390,0.51685393258427,364,0.48314606741573
"440","--","NBC News",900,"Registered Voters","Live phone component","2020-03-11","2020-03-13",52,43,0,NA,2020-03-11,2020-03-13,2020-03-12,95,"Registered Voters",900,468,0.547368421052632,387,0.452631578947368
"441","OH","Marist College",1710,"Registered Voters","Live phone component","2020-03-10","2020-03-13",49,45,0,NA,2020-03-10,2020-03-13,2020-03-11,94,"Registered Voters",1710,838,0.521276595744681,770,0.478723404255319
"442","FL","Latino Decisions",1071,"Registered Voters","Live phone component","2020-03-06","2020-03-12",45,48,0,NA,2020-03-06,2020-03-12,2020-03-09,93,"Registered Voters",1071,482,0.483870967741935,514,0.516129032258065
"443","--","Hofstra University",1500,"Likely Voters","Other","2020-03-05","2020-03-12",50.6,49.4,0,NA,2020-03-05,2020-03-12,2020-03-08,100,"Likely Voters",1500,759,0.506,741,0.494
"444","CT","Sacred Heart University",1000,"Adults","Live phone component","2020-02-24","2020-03-12",51.9,35.6,0,NA,2020-02-24,2020-03-12,2020-03-03,87.5,"Adults",1000,519,0.593142857142857,356,0.406857142857143
"445","WI","Public Policy Polling",1727,"Registered Voters","Other","2020-03-10","2020-03-11",48,45,0,NA,2020-03-10,2020-03-11,2020-03-10,93,"Registered Voters",1727,829,0.516129032258065,777,0.483870967741935
"446","KS","Public Policy Polling",1567,"Registered Voters","Other","2020-03-10","2020-03-11",40,52,0,NA,2020-03-10,2020-03-11,2020-03-10,92,"Registered Voters",1567,627,0.434782608695652,815,0.565217391304348
"447","--","YouGov",1240,"Registered Voters","Other","2020-03-10","2020-03-11",45,41,0,NA,2020-03-10,2020-03-11,2020-03-10,86,"Registered Voters",1240,558,0.523255813953488,508,0.476744186046512
"448","--","Civiqs",1441,"Registered Voters","Other","2020-03-08","2020-03-11",48,46,0,NA,2020-03-08,2020-03-11,2020-03-09,94,"Registered Voters",1441,692,0.51063829787234,663,0.48936170212766
"449","AZ","Latino Decisions",1036,"Registered Voters","Live phone component","2020-03-06","2020-03-11",50,42,0,NA,2020-03-06,2020-03-11,2020-03-08,92,"Registered Voters",1036,518,0.543478260869565,435,0.456521739130435
"450","--","YouGov",1191,"Registered Voters","Other","2020-03-08","2020-03-10",47,43,0,NA,2020-03-08,2020-03-10,2020-03-09,90,"Registered Voters",1191,560,0.522222222222222,512,0.477777777777778
"451","MI","AtlasIntel",1100,"Registered Voters","Other","2020-03-07","2020-03-09",44.1,45.5,0,NA,2020-03-07,2020-03-09,2020-03-08,89.6,"Registered Voters",1100,485,0.4921875,500,0.5078125
"452","--","Ipsos",956,"Registered Voters","Other","2020-03-06","2020-03-09",44,42,0,NA,2020-03-06,2020-03-09,2020-03-07,86,"Registered Voters",956,421,0.511627906976744,402,0.488372093023256
"453","MI","YouGov",566,"Registered Voters","Other","2020-03-06","2020-03-08",45,41,0,NA,2020-03-06,2020-03-08,2020-03-07,86,"Registered Voters",566,255,0.523255813953488,232,0.476744186046512
"454","PA","YouGov",725,"Registered Voters","Other","2020-03-06","2020-03-08",46,40,0,NA,2020-03-06,2020-03-08,2020-03-07,86,"Registered Voters",725,334,0.534883720930233,290,0.465116279069767
"455","WI","YouGov",459,"Registered Voters","Other","2020-03-06","2020-03-08",44,42,0,NA,2020-03-06,2020-03-08,2020-03-07,86,"Registered Voters",459,202,0.511627906976744,193,0.488372093023256
"456","--","Rasmussen Reports",1000,"Likely Voters","Other","2020-03-05","2020-03-08",48,42,0,NA,2020-03-05,2020-03-08,2020-03-06,90,"Likely Voters",1000,480,0.533333333333333,420,0.466666666666667
"457","MI","Monmouth University",977,"Registered Voters","Live phone component","2020-03-05","2020-03-08",48,41,0,NA,2020-03-05,2020-03-08,2020-03-06,89,"Registered Voters",977,469,0.539325842696629,401,0.460674157303371
"458","--","Quinnipiac University",1261,"Registered Voters","Live phone component","2020-03-05","2020-03-08",52,41,0,NA,2020-03-05,2020-03-08,2020-03-06,93,"Registered Voters",1261,656,0.559139784946237,517,0.440860215053763
"459","--","Morning Consult",6112,"Registered Voters","Other","2020-03-05","2020-03-08",48,41,0,NA,2020-03-05,2020-03-08,2020-03-06,89,"Registered Voters",6112,2934,0.539325842696629,2506,0.460674157303371
"460","OK","Amber Integrated",500,"Likely Voters","Live phone component","2020-03-05","2020-03-08",33,57,0,NA,2020-03-05,2020-03-08,2020-03-06,90,"Likely Voters",500,165,0.366666666666667,285,0.633333333333333
"461","MI","Optimus",550,"Likely Voters","Live phone component","2020-03-05","2020-03-07",44.34,46.49,0,NA,2020-03-05,2020-03-07,2020-03-06,90.83,"Likely Voters",550,244,0.488164703291864,256,0.511835296708136
"462","PA","Optimus",533,"Likely Voters","Live phone component","2020-03-05","2020-03-07",44,45,0,NA,2020-03-05,2020-03-07,2020-03-06,89,"Likely Voters",533,235,0.49438202247191,240,0.50561797752809
"463","WI","Optimus",502,"Likely Voters","Live phone component","2020-03-05","2020-03-07",43.07,44.56,0,NA,2020-03-05,2020-03-07,2020-03-06,87.63,"Likely Voters",502,216,0.491498345315531,224,0.508501654684469
"464","FL","Florida Atlantic University",1216,"Registered Voters","Other","2020-03-05","2020-03-07",49.4,50.6,0,NA,2020-03-05,2020-03-07,2020-03-06,100,"Registered Voters",1216,601,0.494,615,0.506
"465","--","SSRS",1084,"Registered Voters","Live phone component","2020-03-04","2020-03-07",53,43,0,NA,2020-03-04,2020-03-07,2020-03-05,96,"Registered Voters",1084,575,0.552083333333333,466,0.447916666666667
"466","WA","SurveyUSA",992,"Registered Voters","Other","2020-03-04","2020-03-06",57,34,0,NA,2020-03-04,2020-03-06,2020-03-05,91,"Registered Voters",992,565,0.626373626373626,337,0.373626373626374
"467","ND","DFM Research",400,"Likely Voters","Live phone component","2020-03-03","2020-03-06",38,55,0,NA,2020-03-03,2020-03-06,2020-03-04,93,"Likely Voters",400,152,0.408602150537634,220,0.591397849462366
"468","IA","Selzer",667,"Likely Voters","Live phone component","2020-03-02","2020-03-06",41,51,0,NA,2020-03-02,2020-03-06,2020-03-04,92,"Likely Voters",667,273,0.445652173913043,340,0.554347826086957
"469","AZ","OH Predictive Insights",600,"Likely Voters","Live phone component","2020-03-03","2020-03-04",49,43,0,NA,2020-03-03,2020-03-04,2020-03-03,92,"Likely Voters",600,294,0.532608695652174,258,0.467391304347826
"470","ME","Public Policy Polling",872,"Registered Voters","Other","2020-03-02","2020-03-04",52,42,0,NA,2020-03-02,2020-03-04,2020-03-03,94,"Registered Voters",872,453,0.553191489361702,366,0.446808510638298
"471","AZ","Public Policy Polling",666,"Registered Voters","Other","2020-03-02","2020-03-04",48,47,0,NA,2020-03-02,2020-03-04,2020-03-03,95,"Registered Voters",666,320,0.505263157894737,313,0.494736842105263
"472","CA","AtlasIntel",1100,"Registered Voters","Other","2020-02-24","2020-03-02",62.1,26.2,0,NA,2020-02-24,2020-03-02,2020-02-27,88.3,"Registered Voters",1100,683,0.703284258210646,288,0.296715741789354
"473","TX","AtlasIntel",1100,"Registered Voters","Other","2020-02-24","2020-03-02",42.8,46.5,0,NA,2020-02-24,2020-03-02,2020-02-27,89.3,"Registered Voters",1100,471,0.479283314669653,512,0.520716685330347
"474","GA","University of Georgia",1117,"Likely Voters","Live phone component","2020-02-24","2020-03-02",43.1,51.4,0,NA,2020-02-24,2020-03-02,2020-02-27,94.5,"Likely Voters",1117,481,0.456084656084656,574,0.543915343915344
"475","UT","RMG Research",1000,"Registered Voters","Other","2020-02-24","2020-03-01",33,50,0,NA,2020-02-24,2020-03-01,2020-02-27,83,"Registered Voters",1000,330,0.397590361445783,500,0.602409638554217
"476","--","IBD",839,"Registered Voters","Live phone component","2020-02-20","2020-02-29",49,46,0,NA,2020-02-20,2020-02-29,2020-02-24,95,"Registered Voters",839,411,0.515789473684211,386,0.484210526315789
"477","NC","East Carolina University",1288,"Registered Voters","Other","2020-02-27","2020-02-28",48.1,45.5,0,NA,2020-02-27,2020-02-28,2020-02-27,93.6,"Registered Voters",1288,620,0.513888888888889,586,0.486111111111111
"478","CA","YouGov",1507,"Registered Voters","Other","2020-02-26","2020-02-28",59,31,0,NA,2020-02-26,2020-02-28,2020-02-27,90,"Registered Voters",1507,889,0.655555555555556,467,0.344444444444444
"479","MS","Mason",625,"Registered Voters","Live phone component","2020-02-26","2020-02-28",41,56,0,NA,2020-02-26,2020-02-28,2020-02-27,97,"Registered Voters",625,256,0.422680412371134,350,0.577319587628866
"480","--","The Harris Poll",651,"Registered Voters","Other","2020-02-26","2020-02-28",55,45,0,NA,2020-02-26,2020-02-28,2020-02-27,100,"Registered Voters",651,358,0.55,293,0.45
"481","SC","AtlasIntel",1100,"Registered Voters","Other","2020-02-25","2020-02-28",41.8,47.6,0,NA,2020-02-25,2020-02-28,2020-02-26,89.4,"Registered Voters",1100,460,0.467561521252796,524,0.532438478747204
"482","VA","Hampton University",768,"Registered Voters","Other","2020-02-25","2020-02-28",45,38,0,NA,2020-02-25,2020-02-28,2020-02-26,83,"Registered Voters",768,346,0.542168674698795,292,0.457831325301205
"483","--","YouGov",1662,"Registered Voters","Other","2020-02-26","2020-02-27",50,41,0,NA,2020-02-26,2020-02-27,2020-02-26,91,"Registered Voters",1662,831,0.549450549450549,681,0.450549450549451
"484","MO","Remington Research Group",1050,"Likely Voters","Other","2020-02-26","2020-02-27",42,52,0,NA,2020-02-26,2020-02-27,2020-02-26,94,"Likely Voters",1050,441,0.446808510638298,546,0.553191489361702
"485","--","Morning Consult",6117,"Registered Voters","Other","2020-02-23","2020-02-27",46,42,0,NA,2020-02-23,2020-02-27,2020-02-25,88,"Registered Voters",6117,2814,0.522727272727273,2569,0.477272727272727
"486","NC","Marist College",2120,"Registered Voters","Live phone component","2020-02-23","2020-02-27",49,45,0,NA,2020-02-23,2020-02-27,2020-02-25,94,"Registered Voters",2120,1039,0.521276595744681,954,0.478723404255319
"487","TX","Marist College",2409,"Registered Voters","Live phone component","2020-02-23","2020-02-27",45,49,0,NA,2020-02-23,2020-02-27,2020-02-25,94,"Registered Voters",2409,1084,0.478723404255319,1180,0.521276595744681
"488","--","FOX",1000,"Registered Voters","Live phone component","2020-02-23","2020-02-26",49,41,0,NA,2020-02-23,2020-02-26,2020-02-24,90,"Registered Voters",1000,490,0.544444444444444,410,0.455555555555556
"489","CA","SSRS",951,"Registered Voters","Live phone component","2020-02-22","2020-02-26",60,35,0,NA,2020-02-22,2020-02-26,2020-02-24,95,"Registered Voters",951,571,0.631578947368421,333,0.368421052631579
"490","TX","SSRS",1003,"Registered Voters","Live phone component","2020-02-22","2020-02-26",48,47,0,NA,2020-02-22,2020-02-26,2020-02-24,95,"Registered Voters",1003,481,0.505263157894737,471,0.494736842105263
"491","TX","Univision",1004,"Registered Voters","Live phone component","2020-02-21","2020-02-26",43,46,0,NA,2020-02-21,2020-02-26,2020-02-23,89,"Registered Voters",1004,432,0.48314606741573,462,0.51685393258427
"492","TX","University of Texas at Tyler",1221,"Registered Voters","Live phone component","2020-02-17","2020-02-26",44,45,0,NA,2020-02-17,2020-02-26,2020-02-21,89,"Registered Voters",1221,537,0.49438202247191,549,0.50561797752809
"493","CA","University of California",6002,"Likely Voters","Other","2020-02-20","2020-02-25",57.8,30.9,0,NA,2020-02-20,2020-02-25,2020-02-22,88.7,"Likely Voters",6002,3469,0.65163472378805,1855,0.34836527621195
"494","--","Ipsos",3809,"Registered Voters","Other","2020-02-19","2020-02-25",46.5,40,0,NA,2020-02-19,2020-02-25,2020-02-22,86.5,"Registered Voters",3809,1771,0.53757225433526,1524,0.46242774566474
"495","NH","University of New Hampshire",576,"Likely Voters","Live phone component","2020-02-19","2020-02-25",44,46,0,NA,2020-02-19,2020-02-25,2020-02-22,90,"Likely Voters",576,253,0.488888888888889,265,0.511111111111111
"496","WI","Marquette University Law School",1000,"Registered Voters","Live phone component","2020-02-19","2020-02-23",46,46,0,NA,2020-02-19,2020-02-23,2020-02-21,92,"Registered Voters",1000,460,0.5,460,0.5
"497","--","Saint Leo University",1000,"Adults","Other","2020-02-17","2020-02-22",46.8,39.4,0,NA,2020-02-17,2020-02-22,2020-02-19,86.2,"Adults",1000,468,0.54292343387471,394,0.45707656612529
"498","FL","Saint Leo University",900,"Likely Voters","Other","2020-02-17","2020-02-22",51.2,40.3,0,NA,2020-02-17,2020-02-22,2020-02-19,91.5,"Likely Voters",900,461,0.559562841530055,363,0.440437158469945
"499","MT","University of Montana",498,"Likely Voters","Other","2020-02-12","2020-02-22",33.9,56.2,0,NA,2020-02-12,2020-02-22,2020-02-17,90.1,"Likely Voters",498,169,0.376248612652608,280,0.623751387347392
"500","NV","AtlasIntel",1100,"Registered Voters","Other","2020-02-19","2020-02-21",43.7,40.9,0,NA,2020-02-19,2020-02-21,2020-02-20,84.6,"Registered Voters",1100,481,0.516548463356974,450,0.483451536643026
"501","NY","Siena College",658,"Registered Voters","Live phone component","2020-02-16","2020-02-20",55,36,0,NA,2020-02-16,2020-02-20,2020-02-18,91,"Registered Voters",658,362,0.604395604395604,237,0.395604395604396
"502","PA","Muhlenberg College",424,"Registered Voters","Live phone component","2020-02-12","2020-02-20",47,47,0,NA,2020-02-12,2020-02-20,2020-02-16,94,"Registered Voters",424,199,0.5,199,0.5
"503","PA","YouGov",1171,"Registered Voters","Other","2020-02-11","2020-02-20",46,45,0,NA,2020-02-11,2020-02-20,2020-02-15,91,"Registered Voters",1171,539,0.505494505494505,527,0.494505494505495
"504","MI","YouGov",1249,"Registered Voters","Other","2020-02-11","2020-02-20",47,43,0,NA,2020-02-11,2020-02-20,2020-02-15,90,"Registered Voters",1249,587,0.522222222222222,537,0.477777777777778
"505","WI","YouGov",936,"Registered Voters","Other","2020-02-11","2020-02-20",45,43,0,NA,2020-02-11,2020-02-20,2020-02-15,88,"Registered Voters",936,421,0.511363636363636,402,0.488636363636364
"506","NC","Climate Nexus",675,"Registered Voters","Other","2020-02-15","2020-02-19",46,44,0,NA,2020-02-15,2020-02-19,2020-02-17,90,"Registered Voters",675,310,0.511111111111111,297,0.488888888888889
"507","CO","Climate Nexus",485,"Registered Voters","Other","2020-02-15","2020-02-19",46,43,0,NA,2020-02-15,2020-02-19,2020-02-17,89,"Registered Voters",485,223,0.51685393258427,209,0.48314606741573
"508","MD","Goucher College",718,"Likely Voters","Live phone component","2020-02-13","2020-02-19",60,35,0,NA,2020-02-13,2020-02-19,2020-02-16,95,"Likely Voters",718,431,0.631578947368421,251,0.368421052631579
"509","MI","Quinnipiac University",845,"Registered Voters","Live phone component","2020-02-12","2020-02-18",47,43,0,NA,2020-02-12,2020-02-18,2020-02-15,90,"Registered Voters",845,397,0.522222222222222,363,0.477777777777778
"510","PA","Quinnipiac University",849,"Registered Voters","Live phone component","2020-02-12","2020-02-18",50,42,0,NA,2020-02-12,2020-02-18,2020-02-15,92,"Registered Voters",849,424,0.543478260869565,357,0.456521739130435
"511","WI","Quinnipiac University",823,"Registered Voters","Live phone component","2020-02-12","2020-02-18",42,49,0,NA,2020-02-12,2020-02-18,2020-02-15,91,"Registered Voters",823,346,0.461538461538462,403,0.538461538461538
"512","FL","University of North Florida",668,"Registered Voters","Live phone component","2020-02-10","2020-02-18",49,48,0,NA,2020-02-10,2020-02-18,2020-02-14,97,"Registered Voters",668,327,0.505154639175258,321,0.494845360824742
"513","VA","Roanoke College",520,"Likely Voters","Live phone component","2020-02-09","2020-02-18",48,40,0,NA,2020-02-09,2020-02-18,2020-02-13,88,"Likely Voters",520,250,0.545454545454545,208,0.454545454545455
"514","MI","Expedition Strategies",500,"Registered Voters","Other","2020-02-06","2020-02-18",43,43,0,NA,2020-02-06,2020-02-18,2020-02-12,86,"Registered Voters",500,215,0.5,215,0.5
"515","PA","Expedition Strategies",500,"Registered Voters","Other","2020-02-06","2020-02-18",47,42,0,NA,2020-02-06,2020-02-18,2020-02-12,89,"Registered Voters",500,235,0.528089887640449,210,0.471910112359551
"516","WI","Expedition Strategies",500,"Registered Voters","Other","2020-02-06","2020-02-18",42,44,0,NA,2020-02-06,2020-02-18,2020-02-12,86,"Registered Voters",500,210,0.488372093023256,220,0.511627906976744
"517","--","Ipsos",947,"Registered Voters","Other","2020-02-14","2020-02-17",42,40,0,NA,2020-02-14,2020-02-17,2020-02-15,82,"Registered Voters",947,398,0.51219512195122,379,0.48780487804878
"518","--","NBC News",900,"Registered Voters","Live phone component","2020-02-14","2020-02-17",52,44,0,NA,2020-02-14,2020-02-17,2020-02-15,96,"Registered Voters",900,468,0.541666666666667,396,0.458333333333333
"519","--","ABC",1066,"Adults","Live phone component","2020-02-14","2020-02-17",52,44,0,NA,2020-02-14,2020-02-17,2020-02-15,96,"Adults",1066,554,0.541666666666667,469,0.458333333333333
"520","--","ABC",913,"Registered Voters","Live phone component","2020-02-14","2020-02-17",52,45,0,NA,2020-02-14,2020-02-17,2020-02-15,97,"Registered Voters",913,475,0.536082474226804,411,0.463917525773196
"521","--","SurveyUSA",2768,"Registered Voters","Other","2020-02-13","2020-02-17",48,45,0,NA,2020-02-13,2020-02-17,2020-02-15,93,"Registered Voters",2768,1329,0.516129032258065,1246,0.483870967741935
"522","--","Morning Consult",7313,"Registered Voters","Other","2020-02-12","2020-02-17",45,43,0,NA,2020-02-12,2020-02-17,2020-02-14,88,"Registered Voters",7313,3291,0.511363636363636,3145,0.488636363636364
"523","--","Marist College",1164,"Registered Voters","Live phone component","2020-02-13","2020-02-16",50,44,0,NA,2020-02-13,2020-02-16,2020-02-14,94,"Registered Voters",1164,582,0.531914893617021,512,0.468085106382979
"524","NC","SurveyUSA",2366,"Registered Voters","Other","2020-02-13","2020-02-16",49,45,0,NA,2020-02-13,2020-02-16,2020-02-14,94,"Registered Voters",2366,1159,0.521276595744681,1065,0.478723404255319
"525","CA","SurveyUSA",1196,"Registered Voters","Other","2020-02-13","2020-02-16",57,37,0,NA,2020-02-13,2020-02-16,2020-02-14,94,"Registered Voters",1196,682,0.606382978723404,443,0.393617021276596
"526","NJ","Fairleigh Dickinson University",790,"Adults","Live phone component","2020-02-12","2020-02-16",52,34,0,NA,2020-02-12,2020-02-16,2020-02-14,86,"Adults",790,411,0.604651162790698,269,0.395348837209302
"527","AZ","Climate Nexus",539,"Registered Voters","Other","2020-02-11","2020-02-15",42,46,0,NA,2020-02-11,2020-02-15,2020-02-13,88,"Registered Voters",539,226,0.477272727272727,248,0.522727272727273
"528","OK","Cole Hargrave Snodgrass",500,"Registered Voters","Live phone component","2020-02-10","2020-02-13",33,57,0,NA,2020-02-10,2020-02-13,2020-02-11,90,"Registered Voters",500,165,0.366666666666667,285,0.633333333333333
"529","NH","AtlasIntel",1100,"Registered Voters","Other","2020-02-08","2020-02-10",43.5,45.9,0,NA,2020-02-08,2020-02-10,2020-02-09,89.4,"Registered Voters",1100,478,0.486577181208054,505,0.513422818791946
"530","--","Ipsos",952,"Registered Voters","Other","2020-02-07","2020-02-10",44,42,0,NA,2020-02-07,2020-02-10,2020-02-08,86,"Registered Voters",952,419,0.511627906976744,400,0.488372093023256
"531","--","Quinnipiac University",1159,"Registered Voters","Live phone component","2020-02-05","2020-02-09",50,43,0,NA,2020-02-05,2020-02-09,2020-02-07,93,"Registered Voters",1159,580,0.537634408602151,498,0.462365591397849
"532","--","Morning Consult",9045,"Registered Voters","Other","2020-02-04","2020-02-09",45,42,0,NA,2020-02-04,2020-02-09,2020-02-06,87,"Registered Voters",9045,4070,0.517241379310345,3799,0.482758620689655
